id,title,published_date,address,category,meters,floor,rooms,price
22125342,Spacieux attique en duplex au bord du Lac de Morges avec vue panora...,2019-10-01,Route de Lausanne 56 | 1110 Morges,Maisonette,180,Floor 3,4.5,4900.0
22136473,Location sans caution - Dans joli complexe proche de toutes commodi...,2019-09-30,Av. du Delay 6 | 1110 Morges,Apartment,72,Floor 2,3.5,1755.0
22109267,Splendides bureaux de 1'199 m2 au coeur du Lake Geneva Center,2019-09-27,Route de la Longeraie 9 | 1110 Morges,Commercial property,,Ground floor,,28347.0
22109268,Splendides bureaux de 1'104 m2 au coeur du Lake Geneva Center,2019-09-27,Route de la Longeraie 9 | 1110 Morges,Commercial property,,Floor 1,,33168.0
22179667,Maison de village avec caché vue dégagée,2019-09-26,1110 Morges,Single-family house,214,Ground floor,6.0,3350.0
21615056,Appartement de 3.5 pièces avec magnifique vue sur le lac,2019-09-26,Rue Louis-de-Savoie 67 | 1110 Morges,Apartment,95,Floor 3,3.5,2500.0
22269384,Appartement à Morges,2019-09-26,docteur yersin | 1110 Morges,Maisonette,130,,5.5,2690.0
21741673,Jura Nord Vaudois : Restaurant Pizzéria en Gérance,2019-09-25,1110 Morges,Commercial property,,,,5000.0
22098120,La Côte : Café Restaurant à vendre,2019-09-25,1110 Morges,Commercial property,,,,5000.0
22094378,2.5 pièces au 2ème étage,2019-09-25,Pont - Neuf 3 | 1110 Morges,Apartment,55,Floor 2,2.5,1750.0
22094376,3.5 pièces au 3ème étage,2019-09-25,Pont - Neuf 3 | 1110 Morges,Apartment,79,Floor 3,3.5,2080.0
22278271,Magnifique Duplex de 95m2 proche de l'EPFL,2019-09-25,1110 Morges,Maisonette,95,,3.5,2370.0
22075714,A 2 pas du Lac: Superbe 4.5 pièces de 124 m2 à Morges,2019-09-23,Avenue Ignace Paderewski 28D | 1110 Morges,Apartment,124,,4.5,3400.0
22063193,La Côte : Superbe Boutique Confection Femme,2019-09-20,1110 Morges,Commercial property,,,,1850.0
22063194,La Côte : Magnifique Arcade pour Vinothèque,2019-09-20,1110 Morges,Commercial property,,,,2000.0
22062158,LOUÉ PAR NOS SOINS,2019-09-19,1110 Morges,Apartment,150,Floor 1,5.5,2950.0
22058094,Standing - Très bel appartement dans immeuble récent,2019-09-19,Avenue Paderewski 32 A | 1110 Morges,Apartment,88,Floor 3,3.5,2660.0
22058434,Morges : Superbe Arcade à remettre,2019-09-19,1110 Morges,Commercial property,,,,5100.0
